reviews__|	reviews__|__date	reviews__|__score	reviews__|__name	score_breakdown__Value for money	score_breakdown__Free WiFi	score_breakdown__Cleanliness	score_breakdown__Comfort	score_breakdown__Facilities	score_breakdown__Location	score_breakdown__Staff	score	name	location
R100	"Reviewed: March 5, 2019"	10	Elizabbetta	7.6	7	7.5	7.1	7.3	9.1	7.4	7.7	Inn Rambuttri Village Plaza	"95 Soi Ram Buttri, Chakkra Phong Road, Phra Nakorn, 10200 Bangkok, Thailand"
R70	"Reviewed: March 19, 2019"	7.9	Jasonroh										
R71	"Reviewed: March 19, 2019"	5.4	Marzia										
R72	"Reviewed: March 18, 2019"	6.3	Weronika										
R73	"Reviewed: March 18, 2019"	7.5	Norbert										
R74	"Reviewed: March 18, 2019"	6.3	Johana										
R75	"Reviewed: March 18, 2019"	3.8	Magdalena										
R76	"Reviewed: March 18, 2019"	2.5	John										
R77	"Reviewed: March 16, 2019"	9.6	Barry										
R34	"Reviewed: April 5, 2019"	7.9	Cynthia										
R38	"Reviewed: April 4, 2019"	10	Mike										
R36	"Reviewed: April 4, 2019"	6.7	Danilo										
R37	"Reviewed: April 4, 2019"	8.8	Susan										
R30	"Reviewed: April 7, 2019"	7.9	Maria										
R31	"Reviewed: April 7, 2019"	8.8	Lesley										
R32	"Reviewed: April 7, 2019"	3.8	Esther										
R39	"Reviewed: April 3, 2019"	9.6	Mateusz										
R4	"Reviewed: April 21, 2019"	6.7	Amanda										
R5	"Reviewed: April 20, 2019"	7.5	Nadine.xx										
R6	"Reviewed: April 19, 2019"	6.7	Philip										
R7	"Reviewed: April 18, 2019"	4.2	Celia										
R1	"Reviewed: April 23, 2019"	7.1	Chowdhury										
R2	"Reviewed: April 23, 2019"	8.8	Barry										
R3	"Reviewed: April 21, 2019"	7.9	AnyWhere I will Go.										
R8	"Reviewed: April 17, 2019"	8.3	Isabelle										
R9	"Reviewed: April 17, 2019"	6.7	Anonymous										
R89	"Reviewed: March 9, 2019"	3.3	Kevin										
R78	"Reviewed: March 15, 2019"	8.3	Robert										
R35	"Reviewed: April 5, 2019"	7.1	James										
R81	"Reviewed: March 14, 2019"	10	Artur										
R80	"Reviewed: March 15, 2019"	7.9	Mickaël										
R83	"Reviewed: March 12, 2019"	8.3	David										
R82	"Reviewed: March 12, 2019"	3.8	Rui										
R85	"Reviewed: March 11, 2019"	8.3	Rakesh										
R84	"Reviewed: March 11, 2019"	9.6	Simon 83										
R87	"Reviewed: March 10, 2019"	6.7	Thomas										
R86	"Reviewed: March 11, 2019"	7.1	Anonymous										
R79	"Reviewed: March 15, 2019"	7.1	Tomá_										
R45	"Reviewed: March 31, 2019"	9.2	Anonymous										
R44	"Reviewed: March 31, 2019"	3.3	Leo										
R47	"Reviewed: March 29, 2019"	4.6	Jan										
R46	"Reviewed: March 30, 2019"	10	Carallyn										
R41	"Reviewed: April 1, 2019"	8.3	Mayara										
R40	"Reviewed: April 2, 2019"	10	Robert										
R43	"Reviewed: March 31, 2019"	5.8	Ale_										
R42	"Reviewed: April 1, 2019"	7.5	Ds										
R33	"Reviewed: April 5, 2019"	10	Cecília										
R49	"Reviewed: March 27, 2019"	10	Tishbi										
R48	"Reviewed: March 28, 2019"	4.6	Marcus										
R98	"Reviewed: March 5, 2019"	7.9	Maciej										
R99	"Reviewed: March 5, 2019"	6.7	Eliza										
R96	"Reviewed: March 6, 2019"	6.3	Stuart										
R97	"Reviewed: March 6, 2019"	7.9	Max										
R94	"Reviewed: March 7, 2019"	6.7	Ben										
R95	"Reviewed: March 6, 2019"	7.9	Natalia										
R92	"Reviewed: March 7, 2019"	5.4	Eleonore										
R93	"Reviewed: March 7, 2019"	7.9	Franziska										
R90	"Reviewed: March 9, 2019"	6.7	Margareta										
R91	"Reviewed: March 8, 2019"	8.8	Arsa Suyadnya										
R16	"Reviewed: April 14, 2019"	6.7	Alesandrasa										
R17	"Reviewed: April 13, 2019"	7.1	Terumi										
R14	"Reviewed: April 15, 2019"	8.8	World Traveller 68										
R15	"Reviewed: April 15, 2019"	7.1	Taras										
R12	"Reviewed: April 16, 2019"	5	Justine										
R13	"Reviewed: April 16, 2019"	7.9	Claire										
R10	"Reviewed: April 17, 2019"	8.8	Lucie										
R11	"Reviewed: April 16, 2019"	4.2	Justine										
R18	"Reviewed: April 12, 2019"	6.3	Thomas										
R19	"Reviewed: April 11, 2019"	8.3	Florin										
R58	"Reviewed: March 24, 2019"	7.9	Yenny										
R59	"Reviewed: March 23, 2019"	7.1	colin cupples										
