name,score,polarity score,location
 Marina Bay Sands,8.9,8.592500000000001,"10 Bayfront Avenue, Marina Bay, 018956 Singapore, Singapore"
Condo Hotel Treetops Executive Residences,9.2,9.2565,"7 Orange Grove Road, Orchard, 258355 Singapore, Singapore"
Condo Hotel Fraser Place Robertson Walk Singapor,8.9,9.258,"11 Unity Street, Robertson Quay, 237995 Singapore, Singapore"
Condo Hotel Orchard Parksuites by Far East Hospitality,8.5,7.3075,"11 Orchard Turn, Orchard, 238800 Singapore, Singapore"
Condo Hotel Orchard Scotts Residences by Far East Hospitality,8.4,5.2675,"5 Anthony Road, Orchard, 229954 Singapore, Singapore"
 The Fullerton Bay Hotel Singapor,9.4,8.683499999999999,"80 Collyer Quay, Marina Bay, 049326 Singapore, Singapore"
Condo Hotel Shangri-La Apartments,8.3,8.834,"1, Anderson Road, Orchard, 259983 Singapore, Singapore"
Resort Resorts World Sentosa - Beach Villas,8.5,7.096,"8 Sentosa Gateway, Sentosa Island, 098269 Singapore, Singapore"
Condo Hotel Thanksgiving Serviced Residenc,8.5,6.6555,"328 River Valley Road, 238360 Singapore, Singapore"
Condo Hotel Fraser Suites Singapor,8.8,6.9025,"491A River Valley Road, 248372 Singapore, Singapore"
Condo Hotel Pan Pacific Serviced Suites Beach Road,9.0,9.1345,"7500B Beach Road, 199592 Singapore, Singapore"
 Capella Singapor,8.9,9.139000000000001,"1 The Knolls Sentosa Island, Sentosa Island, 098297 Singapore, Singapore"
"Condo Hotel Pan Pacific Serviced Suites Orchard, Singapor",9.0,7.7669999999999995,"96 Somerset Road, Orchard, 238163 Singapore, Singapore"
Condo Hotel Far East Plaza Residences by Far East Hospitality,7.9,6.688000000000001,"14 Scotts Road, Orchard, 228213 Singapore, Singapore"
Condo Hotel 8 on Claymore Serviced Residences - By Royal Plaza on Scotts,9.1,8.063,"8 Claymore Hill, Orchard, 229572 Singapore, Singapore"
Condo Hotel Village Residence Clarke Quay by Far East Hospitality,8.8,8.983,"20 Havelock Road, Clarke Quay, 059765 Singapore, Singapore"
Condo Hotel Orchard Point Serviced Apartments,8.1,7.712,"160 Orchard Road #06-01 OG Orchard Point, Orchard, 238842 Singapore, Singapore"
Condo Hotel Park Avenue Clemenceau,8.8,8.6085,"81A Clemenceau Avenue #05-18, UE Square, Robertson Quay, 239918 Singapore, Singapore"
Condo Hotel Regency House by Far East Hospitality,8.9,6.897,"121 Penang Road, Dhoby Ghaut, 238464 Singapore, Singapore"
Resort Sofitel Singapore Sentosa Resort & Spa,8.3,8.083,"2 Bukit Manis Road, Sentosa, Sentosa Island, 099891 Singapore, Singapore"
